"Timestamp","Age","Gender","Year of Study","Discipline/Field","What is your anxiety level before exams or academic presentations?","How often do you feel depressed during your studies?","How do you rate your self-esteem while handling academic challenges?","I experience physical symptoms (headache, stomachache) before exams or presentations","I push myself to meet the deadlines even when it negatively affects my sleep quality or health","How supportive are your family and friends in your studies?","How often do you feel pressured by your classmates or peers about your academic performance?","Background noise distracts me during study.","Poor lighting in my room or home study area makes my living conditions for studying harder.","Lack of basic needs (water, electricity, and internet) causes me stress during studies.","How heavy is your study load when maintaining a CGPA?","I feel my relationship with teachers is affected by my lower grades.","I worry that low grades may negatively affect my future career."
"2025/09/12 3:31:53 pm GMT+5","20 - 22","Male","3rd Semester ","BSCS","2","1","2","1","2","1","2","3","1","2","2","2","2"
"2025/09/13 11:50:06 am GMT+5","20 - 22","Female","Second Year","Computer science ","2","1","2","1","3","3","1","3","3","3","2","2","3"
"2025/09/13 12:23:50 pm GMT+5","20 - 22","Male","Second Year","CS","3","2","2","3","3","0","1","3","3","3","3","2","3"
"2025/09/13 12:54:36 pm GMT+5","20 - 22","Female","Second Year","Computer science ","2","3","2","1","1","2","3","3","1","3","2","2","2"
"2025/09/13 1:14:08 pm GMT+5","20 - 22","Female","Second Year","Cs","2","1","1","1","3","3","0","2","3","2","3","0","3"
"2025/09/13 2:09:16 pm GMT+5","23 - 25","Male","Second Year","Computer Science","3","1","0","3","3","3","2","3","0","0","3","3","3"
"2025/09/13 2:16:06 pm GMT+5","20 - 22","Male","Second Year","Cs","2","1","2","1","2","3","1","2","0","0","1","2","1"
"2025/09/13 5:46:58 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","1","2","3","3","3","3","3","3","2","3","3","3"
"2025/09/13 5:52:10 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","3","2","2","3","3","3","3","3","3","2","3","3"
"2025/09/13 6:01:41 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","0","1","0","0","3","0","2","1","0","2","1","1"
"2025/09/13 6:03:54 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","2","3","1","1","0","2","1","0","0","3","0","3"
"2025/09/13 6:38:51 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","2","1","3","1","3","2","2","3","1","3","2","1","3"
"2025/09/13 6:42:43 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","0","3","0","3","3","3","3","2","1","2","0","3"
"2025/09/13 6:44:12 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","3","2","1","3","2","3","2","3","1","2","2","3","3"
"2025/09/13 6:50:19 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","2","2","0","3","2","3","1","1","2","0","0","0","3"
"2025/09/13 6:59:46 pm GMT+5","20 - 22","Female","First Year","IT/CS/Software/AI","3","1","1","2","1","3","2","0","1","2","1","3","1"
"2025/09/13 7:04:37 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","2","2","2","2","3","3","2","2","1","2","2","3"
"2025/09/13 7:06:37 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","1","1","0","3","3","1","0","0","0","2","1","0"
"2025/09/13 7:09:05 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","1","2","1","1","1","3","3","2","3","1","2","3","2"
"2025/09/13 7:11:46 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","1","3","0","3","3","0","3","3","3","3","1","3"
"2025/09/13 7:13:54 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","2","2","1","1","2","1","3","2","3","2","2","3"
"2025/09/13 7:18:15 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","1","3","2","1","2","2","3","3","3","2","3","1","3"
"2025/09/13 7:36:43 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","3","3","1","3","2","1","3","3","3","1","3","3","3"
"2025/09/13 7:37:35 pm GMT+5","20 - 22","Female","Fourth Year","Natural Sciences/Social Sciences","3","3","2","2","3","3","1","3","3","3","3","2","3"
"2025/09/13 7:40:05 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","0","3","2","0","3","2","1","1","2","0","1","0","0"
"2025/09/13 7:43:26 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","3","2","2","3","1","2","2","0","1","3","2","3"
"2025/09/13 7:46:33 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","1","1","0","2","0","2","2","2","2","1","3","1","2"
"2025/09/13 7:47:05 pm GMT+5","23 - 25","Male","Fourth Year","Natural Sciences/Social Sciences","2","2","3","1","2","2","0","2","2","1","3","2","2"
