Keyword,Score
exam exam exam,4.0889154613658883e-07
exam unknown exam,4.137335354138523e-07
exam assignment exam,4.942514403364857e-07
exam exam test,5.511881988947133e-07
exam test exam,7.516202712200633e-07
exam sleep exam,8.009725768269967e-07
exam exam deadline,8.310336048943931e-07
exam deadline exam,8.310336048943931e-07
unknown exam exam,9.929604849932455e-07
assignment worried exam,1.1038237251271408e-06
worried exam assignment,1.185588445506929e-06
exam worried exam,1.254498128989455e-06
exam exam grade,1.3785283649250207e-06
exam assignment worried,1.4227061346083149e-06
study exam exam,1.4301615709550585e-06
exam grade exam,1.431548686652906e-06
test exam assignment,1.500332742413392e-06
exam test assignment,1.500332742413392e-06
exam deadline assignment,1.6964467890379634e-06
exam test deadline,1.737137238318138e-06
worried exam exam,1.742358512485354e-06
unknown exam unknown,1.9393455306994294e-06
test exam deadline,1.9489832429910818e-06
worried exam sleep,2.184989210581532e-06
feel worried exam,2.18770610371649e-06
exam study exam,2.3041491976498167e-06
exam deadline unknown,2.3214039004754655e-06
grade exam exam,2.3262666158109724e-06
assignment exam sleep,2.336663427684392e-06
deadline exam exam,2.6316064154989117e-06
make worried exam,2.7020932190371725e-06
exam exam unknown,2.7080740499815784e-06
exam exam,2.788808443033578e-06
assignment awake exam,2.848810717295564e-06
assignment submission exam,3.2608243127686713e-06
issue exam exam,3.3081084457982512e-06
assignment exam exam,3.3361972222712786e-06
sleep exam exam,3.337385736779153e-06
exam assignment submission,3.3862406324905433e-06
deadline unknown exam,3.4268343292733065e-06
worried exam unknown,3.5734308564376743e-06
unknown exam assignment,3.5767881367811642e-06
exam feel worried,3.702271867827905e-06
exam exam assignment,3.8127968254528903e-06
worried exam deadline,3.987996190251607e-06
unknown exam deadline,3.997973384152191e-06
personal issue exam,4.00784202447712e-06
exam exam presentation,4.212977481241651e-06
overthinking grade exam,4.258351989936806e-06
unknown exam test,4.43349237610814e-06
