Age,Gender,Year of Study,Discipline/Field,anxiety_level,self_esteem,depression,headache,sleep_quality,noise_level,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure
24,Male,First Year,Natural Sciences/Social Sciences,0.4802078163526956,0.2486124058339822,-0.20139256762412452,-0.36074134678048836,-0.42644512511328697,-0.4889488933551481,0.43069507777139654,-0.539196408828051,0.16073597833434292,-0.4727998146171063,0.25421325353240576,0.22955037733440417,0.11283888994159641,0.18633395968569014
21,Female,Second Year,Business Administration,0.6437460819836446,-1.093589539772793,0.31650766472312736,1.768858732603432,-1.0725741025576614,0.26433371545530415,-1.357095811091004,-0.539196408828051,-1.2537406310078745,1.0479013435080893,-1.1909266890290742,1.5378685901211637,-0.8419517172565273,0.8882769585016463
22,Female,Third Year,IT/CS/Software/AI,0.15313128509079768,0.024912081566186354,0.18703260663631438,-0.36074134678048836,-0.42644512511328697,-0.4889488933551481,-0.4632003666598038,-0.539196408828051,-0.5465023263367659,0.28755076444549144,0.25421325353240576,-0.42460872905897556,0.11283888994159641,0.18633395968569014
24,Male,Third Year,Civil/Mechanical Engineering,0.8072843476145936,-0.6461888912372012,0.31650766472312736,1.0589920394754586,-1.0725741025576614,1.0176163242657563,-0.4632003666598038,-0.539196408828051,-0.5465023263367659,1.0479013435080893,-1.1909266890290742,0.8837094837277839,-0.8419517172565273,0.8882769585016463
20,Female,First Year,Natural Sciences/Social Sciences,0.8072843476145936,1.1434137029051656,-0.7192927999713764,-0.36074134678048836,1.5119418072198356,0.26433371545530415,-0.4632003666598038,0.15858717906707376,0.8679742830054515,0.28755076444549144,-1.1909266890290742,-0.42460872905897556,-0.8419517172565273,1.5902199573176024
25,Female,First Year,IT/CS/Software/AI,1.4614374101383896,-0.5343387291033033,1.0933580132440053,0.3491253463474851,-1.0725741025576614,0.26433371545530415,-0.4632003666598038,-1.2369799967231758,-0.5465023263367659,1.808251922570687,-0.46835671774833415,1.5378685901211637,-0.8419517172565273,0.8882769585016463
22,Male,Third Year,Natural Sciences/Social Sciences,-1.155174839956794,0.9197133786373698,-0.8487678580581894,-1.0706080399084619,0.8658128297754615,-1.2422315021656005,1.3245905222025969,0.8563707669621986,1.5752125876765604,-1.233150393679704,0.9767832248131457,-1.0787678354523553,1.0676294971397202,-0.5156090391302659
22,Female,Fourth Year,IT/CS/Software/AI,0.9708226132455425,-1.6528403504422826,1.2228330713308182,1.0589920394754586,-1.0725741025576614,0.26433371545530415,-1.357095811091004,-1.2369799967231758,-1.2537406310078745,0.28755076444549144,-0.46835671774833415,0.8837094837277839,-0.8419517172565273,0.8882769585016463
24,Female,Second Year,IT/CS/Software/AI,0.31666955072174663,0.47231273010177804,-0.07191750953731156,0.3491253463474851,-0.42644512511328697,0.26433371545530415,0.43069507777139654,0.15858717906707376,0.16073597833434292,0.28755076444549144,-0.46835671774833415,0.22955037733440417,1.0676294971397202,0.18633395968569014
19,Male,First Year,Natural Sciences/Social Sciences,-0.8280983086948962,-1.093589539772793,1.870208361764883,1.0589920394754586,-1.0725741025576614,-1.9955141109760526,2.2184859666337973,-0.539196408828051,-0.5465023263367659,-0.4727998146171063,-1.1909266890290742,1.5378685901211637,-0.8419517172565273,1.5902199573176024
20,Male,First Year,Civil/Mechanical Engineering,0.9708226132455425,-0.6461888912372012,1.6112582455912572,1.0589920394754586,-1.0725741025576614,1.0176163242657563,-0.4632003666598038,-1.2369799967231758,-1.2537406310078745,0.28755076444549144,-1.1909266890290742,0.8837094837277839,-0.8419517172565273,0.8882769585016463
24,Male,Third Year,IT/CS/Software/AI,0.9708226132455425,-0.3106384048355074,1.2228330713308182,0.3491253463474851,-1.0725741025576614,1.7708989330762086,-0.4632003666598038,-1.2369799967231758,-1.2537406310078745,0.28755076444549144,-1.1909266890290742,0.8837094837277839,-0.8419517172565273,1.5902199573176024
20,Female,Second Year,IT/CS/Software/AI,-0.9916365743258452,1.1434137029051656,-0.5898177418845635,-1.0706080399084619,0.8658128297754615,-0.4889488933551481,0.43069507777139654,1.5541543548573233,1.5752125876765604,-0.4727998146171063,0.9767832248131457,-1.0787678354523553,1.0676294971397202,-1.2175520379462221
20,Male,Third Year,IT/CS/Software/AI,-0.3374835118020493,0.584162892235676,1.481783187504444,1.0589920394754586,-1.0725741025576614,-1.2422315021656005,-0.4632003666598038,0.15858717906707376,-1.2537406310078745,-0.4727998146171063,0.25421325353240576,0.22955037733440417,-1.796742324454651,-1.2175520379462221
25,Male,Second Year,Civil/Mechanical Engineering,-1.482251371218692,1.1434137029051656,-1.2371930323186282,-1.0706080399084619,0.8658128297754615,-1.2422315021656005,0.43069507777139654,0.8563707669621986,0.8679742830054515,-0.4727998146171063,1.6993531960938857,-1.0787678354523553,1.0676294971397202,-1.2175520379462221
22,Male,Second Year,Civil/Mechanical Engineering,-0.010406980540151285,0.3604625679678801,0.18703260663631438,0.3491253463474851,-0.42644512511328697,-0.4889488933551481,-0.4632003666598038,-0.539196408828051,0.16073597833434292,0.28755076444549144,0.25421325353240576,0.22955037733440417,0.11283888994159641,0.18633395968569014
