Feature,SHAP_Importance,RF_Importance,SHAP_Direction
headache,0.12609484639993931,0.26478022383110683,Increases Stress
sleep_quality,0.09046840032718326,0.17979591625746622,Increases Stress
peer_pressure,0.07479325225391384,0.14131160995510178,Increases Stress
anxiety_level,0.06621354840097585,0.1162475678892523,Increases Stress
social_support,0.04162617330868829,0.07716289045707198,Decreases Stress
self_esteem,0.03213148878836155,0.053731188749681184,Decreases Stress
depression,0.031410340136527166,0.05423313166888898,Increases Stress
study_load,0.030657149321459545,0.07075455594789075,Increases Stress
Heart_rate,0.001306909559077188,0.008322507225279488,Decreases Stress
Stress_measurement,0.00121232185450686,0.005678496841560243,Increases Stress
noise_level,0.0009684929713358853,0.004029474550580415,Increases Stress
Blood_oxygen,0.0009059161396111067,0.006909182552943652,Decreases Stress
Headache_sleep_stress_causes,0.0008925886913272971,0.003733925661583527,Decreases Stress
teacher_student_relationship,0.0008320647269155147,0.002829173482862824,Increases Stress
future_career_concerns,0.0008288606504454935,0.0020314801434198216,Decreases Stress
Triggers,0.0006866883224083735,0.003623454825969374,Decreases Stress
living_conditions,0.0005234778982357242,0.0025312994663418257,Increases Stress
basic_needs,0.0004690987130755751,0.0022939204929989204,Increases Stress
