anxiety_level,self_esteem,depression,headache,sleep_quality,noise_level,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,anxiety_level_normalized,self_esteem_normalized,depression_normalized,headache_normalized,sleep_quality_normalized,noise_level_normalized,living_conditions_normalized,basic_needs_normalized,academic_performance_normalized,study_load_normalized,teacher_student_relationship_normalized,future_career_concerns_normalized,social_support_normalized,peer_pressure_normalized,stress_level
14,20,11,2,2,2,3,2,3,2,3,3,2,3,3.6666666666666665,2.3333333333333335,2.6296296296296298,2.6,3.4,2.6,3.0,3.4,2.6,2.6,2.6,3.4,3.4,3.4,2.829012345679012
15,8,15,5,1,3,1,2,1,4,1,5,1,4,3.857142857142857,3.9333333333333336,3.2222222222222223,5.0,4.2,3.4,1.0,3.4,4.2,4.2,4.2,5.0,4.2,4.2,2.4449735449735446
12,18,14,2,2,2,2,2,2,3,3,2,2,3,3.2857142857142856,2.6,3.074074074074074,2.6,3.4,2.6,2.0,3.4,3.4,3.4,2.6,2.6,3.4,3.4,2.689991181657848
16,12,15,4,1,4,2,2,2,4,1,4,1,4,4.0476190476190474,3.4,3.2222222222222223,4.2,4.2,4.2,2.0,3.4,3.4,4.2,4.2,4.2,4.2,4.2,2.6945767195767196
16,28,7,2,5,3,2,3,4,3,1,2,1,5,4.0476190476190474,1.2666666666666666,2.037037037037037,2.6,1.0,3.4,2.0,2.6,1.7999999999999998,3.4,4.2,2.6,4.2,5.0,3.3118606701940037
20,13,21,3,1,3,2,1,2,5,2,5,1,4,4.809523809523809,3.2666666666666666,4.111111111111111,3.4,4.2,3.4,2.0,4.2,3.4,5.0,3.4,5.0,4.2,4.2,2.830026455026455
4,26,6,1,4,1,4,4,5,1,4,1,3,2,1.7619047619047619,1.5333333333333332,1.8888888888888888,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.7271164021164025
17,3,22,4,1,3,1,1,1,3,2,4,1,4,4.238095238095238,4.6,4.2592592592592595,4.2,4.2,3.4,1.0,4.2,4.2,3.4,3.4,4.2,4.2,4.2,2.0707231040564373
13,22,12,3,2,3,3,3,3,3,2,3,3,3,3.4761904761904763,2.066666666666667,2.7777777777777777,3.4,3.4,3.4,3.0,2.6,2.6,3.4,3.4,3.4,2.6,3.4,3.0605820105820105
6,8,27,4,1,0,5,2,2,2,1,5,1,5,2.142857142857143,3.9333333333333336,5.0,4.2,4.2,1.0,5.0,3.4,3.4,2.6,4.2,5.0,4.2,5.0,2.4142857142857137
17,12,25,4,1,4,2,1,1,3,1,4,1,4,4.238095238095238,3.4,4.703703703703704,4.2,4.2,4.2,2.0,4.2,4.2,3.4,4.2,4.2,4.2,4.2,2.7975749559082894
17,15,22,3,1,5,2,1,1,3,1,4,1,5,4.238095238095238,3.0,4.2592592592592595,3.4,4.2,5.0,2.0,4.2,4.2,3.4,4.2,4.2,4.2,5.0,3.012389770723104
5,28,8,1,4,2,3,5,5,2,4,1,3,1,1.9523809523809523,1.2666666666666666,2.185185185185185,1.8,1.7999999999999998,2.6,3.0,1.0,1.0,2.6,1.7999999999999998,1.8,2.6,1.8,2.8390652557319225
9,23,24,4,1,1,2,3,1,2,3,3,0,1,2.7142857142857144,1.9333333333333336,4.555555555555555,4.2,4.2,1.8,2.0,2.6,4.2,2.6,2.6,3.4,5.0,1.8,3.061243386243386
2,28,3,1,4,1,3,4,4,2,5,1,3,1,1.380952380952381,1.2666666666666666,1.4444444444444444,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.7999999999999998,2.6,1.0,1.8,2.6,1.8,2.7843915343915344
11,21,14,3,2,2,2,2,3,3,3,3,2,3,3.0952380952380953,2.2,3.074074074074074,3.4,3.4,2.6,2.0,3.4,2.6,3.4,2.6,3.4,3.4,3.4,2.9153880070546734
6,28,1,1,4,1,4,4,5,1,5,1,3,2,2.142857142857143,1.2666666666666666,1.1481481481481481,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,2.6,2.812125220458554
7,25,3,1,4,2,4,4,4,2,5,1,3,1,2.333333333333333,1.666666666666666,1.4444444444444444,1.8,1.7999999999999998,2.6,4.0,1.7999999999999998,1.7999999999999998,2.6,1.0,1.8,2.6,1.8,2.6990740740740744
11,23,12,3,2,3,2,3,2,3,2,2,3,3,3.0952380952380953,1.9333333333333336,2.7777777777777777,3.4,3.4,3.4,2.0,2.6,3.4,3.4,3.4,2.6,2.6,3.4,3.0697089947089946
21,1,25,4,1,4,1,1,1,5,2,5,1,4,5.0,4.866666666666667,4.703703703703704,4.2,4.2,4.2,1.0,4.2,4.2,5.0,3.4,5.0,4.2,4.2,2.1209876543209876
3,27,0,1,4,1,3,4,5,2,5,1,3,1,1.5714285714285714,1.4000000000000004,1.0,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.0,2.6,1.0,1.8,2.6,1.8,2.6738095238095236
18,1,21,4,1,5,1,2,2,5,1,4,1,4,4.428571428571429,4.866666666666667,4.111111111111111,4.2,4.2,5.0,1.0,3.4,3.4,5.0,4.2,4.2,4.2,4.2,2.0391534391534387
7,27,5,1,4,1,3,5,4,2,5,1,3,1,2.333333333333333,1.4000000000000004,1.7407407407407407,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,2.6,1.0,1.8,2.6,1.8,2.7364197530864196
20,5,26,3,1,4,2,2,1,3,1,4,1,5,4.809523809523809,4.333333333333334,4.851851851851851,3.4,4.2,4.2,2.0,3.4,4.2,3.4,4.2,4.2,4.2,5.0,2.3275573192239856
13,21,14,3,2,3,2,3,3,2,3,2,3,3,3.4761904761904763,2.2,3.074074074074074,3.4,3.4,3.4,2.0,2.6,2.6,2.6,2.6,2.6,2.6,3.4,2.864594356261023
6,26,8,1,5,2,4,4,4,1,4,1,3,2,2.142857142857143,1.5333333333333332,2.185185185185185,1.8,1.0,2.6,4.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.7886684303350973
18,6,27,5,1,3,2,1,1,3,1,4,1,5,4.428571428571429,4.2,5.0,5.0,4.2,3.4,2.0,4.2,4.2,3.4,4.2,4.2,4.2,5.0,2.4511904761904764
7,28,20,2,3,5,1,5,4,0,2,2,1,1,2.333333333333333,1.2666666666666666,3.962962962962963,2.6,2.6,5.0,1.0,1.0,1.7999999999999998,1.0,3.4,2.6,4.2,1.8,3.079012345679012
13,23,14,2,3,3,3,3,3,2,3,2,3,2,3.4761904761904763,1.9333333333333336,3.074074074074074,2.6,2.6,3.4,3.0,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.939594356261023
17,6,24,3,1,5,1,1,2,3,1,4,1,4,4.238095238095238,4.2,4.555555555555555,3.4,4.2,5.0,1.0,4.2,3.4,3.4,4.2,4.2,4.2,4.2,2.3164021164021165
0,27,3,1,5,2,4,4,4,2,4,1,3,2,1.0,1.4000000000000004,1.4444444444444444,1.8,1.0,2.6,4.0,1.7999999999999998,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.810185185185185
15,8,10,4,0,1,3,5,3,4,2,4,1,0,3.857142857142857,3.9333333333333336,2.4814814814814814,4.2,5.0,1.8,3.0,1.0,2.6,4.2,3.4,4.2,4.2,1.0,2.064109347442681
15,9,27,4,1,5,2,2,2,3,2,4,1,4,3.857142857142857,3.8,5.0,4.2,4.2,5.0,2.0,3.4,3.4,3.4,3.4,4.2,4.2,4.2,2.5273809523809527
9,23,9,2,2,2,3,2,3,3,2,2,2,3,2.7142857142857144,1.9333333333333336,2.333333333333333,2.6,3.4,2.6,3.0,3.4,2.6,3.4,3.4,2.6,3.4,3.4,3.0103174603174603
7,25,3,1,4,1,4,5,5,2,4,1,3,1,2.333333333333333,1.666666666666666,1.4444444444444444,1.8,1.7999999999999998,1.8,4.0,1.0,1.0,2.6,1.7999999999999998,1.8,2.6,1.8,2.632407407407408
9,22,14,2,2,3,3,3,2,3,2,2,2,3,2.7142857142857144,2.066666666666667,3.074074074074074,2.6,3.4,3.4,3.0,2.6,3.4,3.4,3.4,2.6,3.4,3.4,3.007848324514991
12,21,14,2,3,2,3,3,2,2,2,2,2,2,3.2857142857142856,2.2,3.074074074074074,2.6,2.6,2.6,3.0,2.6,3.4,2.6,3.4,2.6,3.4,2.6,2.831657848324515
7,27,8,1,5,2,4,5,5,2,5,1,3,1,2.333333333333333,1.4000000000000004,2.185185185185185,1.8,1.0,2.6,4.0,1.0,1.0,2.6,1.0,1.8,2.6,1.8,2.7632716049382715
21,6,20,3,1,5,1,1,1,4,1,4,1,5,5.0,4.2,3.962962962962963,3.4,4.2,5.0,1.0,4.2,4.2,4.2,4.2,4.2,4.2,5.0,2.423456790123457
5,25,6,1,5,1,4,4,5,1,4,1,3,1,1.9523809523809523,1.666666666666666,1.8888888888888888,1.8,1.0,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,1.8,2.601719576719577
5,29,6,1,5,2,4,5,4,2,4,1,3,2,1.9523809523809523,1.1333333333333329,1.8888888888888888,1.8,1.0,2.6,4.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.968386243386244
8,30,0,1,4,2,4,5,5,2,4,1,3,1,2.5238095238095237,1.0,1.0,1.8,1.7999999999999998,2.6,4.0,1.0,1.0,2.6,1.7999999999999998,1.8,2.6,1.8,2.9884920634920635
1,27,2,1,5,2,3,5,5,1,5,1,3,2,1.1904761904761905,1.4000000000000004,1.2962962962962963,1.8,1.0,2.6,3.0,1.0,1.0,1.8,1.0,1.8,2.6,2.6,2.6369488536155203
19,9,16,3,1,3,2,1,2,3,1,4,1,5,4.619047619047619,3.8,3.3703703703703702,3.4,4.2,3.4,2.0,4.2,3.4,3.4,4.2,4.2,4.2,5.0,2.491225749559083
15,4,22,4,1,5,2,2,2,3,2,5,1,5,3.857142857142857,4.466666666666667,4.2592592592592595,4.2,4.2,5.0,2.0,3.4,3.4,3.4,3.4,5.0,4.2,5.0,2.2298500881834213
3,30,1,1,5,1,4,4,4,2,4,1,3,2,1.5714285714285714,1.0,1.1481481481481481,1.8,1.0,1.8,4.0,1.7999999999999998,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.98831569664903
19,1,27,4,1,4,2,1,1,4,2,4,1,4,4.619047619047619,4.866666666666667,5.0,4.2,4.2,4.2,2.0,4.2,4.2,4.2,3.4,4.2,4.2,4.2,2.0924603174603176
7,27,7,1,4,1,4,5,4,2,4,1,3,1,2.333333333333333,1.4000000000000004,2.037037037037037,1.8,1.7999999999999998,1.8,4.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.8237654320987655
12,19,10,2,2,3,3,2,3,2,3,3,2,3,3.2857142857142856,2.466666666666667,2.4814814814814814,2.6,3.4,3.4,3.0,3.4,2.6,2.6,2.6,3.4,3.4,3.4,2.7736331569664907
2,26,4,1,5,1,4,5,4,2,5,1,3,2,1.380952380952381,1.5333333333333332,1.5925925925925926,1.8,1.0,1.8,4.0,1.0,1.7999999999999998,2.6,1.0,1.8,2.6,2.6,2.6655643738977073
8,27,5,1,4,1,3,5,4,1,5,1,3,2,2.5238095238095237,1.4000000000000004,1.7407407407407407,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,1.8,1.0,1.8,2.6,2.6,2.7443562610229275
10,16,14,3,3,2,2,3,2,2,3,3,2,3,2.9047619047619047,2.8666666666666667,3.074074074074074,3.4,2.6,2.6,2.0,2.6,3.4,2.6,2.6,3.4,3.4,3.4,2.5074514991181656
6,29,0,1,4,1,4,5,5,2,5,1,3,2,2.142857142857143,1.1333333333333329,1.0,1.8,1.7999999999999998,1.8,4.0,1.0,1.0,2.6,1.0,1.8,2.6,2.6,2.872619047619048
19,2,24,5,1,4,1,1,2,3,2,4,1,4,4.619047619047619,4.733333333333333,4.555555555555555,5.0,4.2,4.2,1.0,4.2,3.4,3.4,3.4,4.2,4.2,4.2,2.0656084656084657
13,23,13,2,3,3,3,2,3,3,3,3,2,2,3.4761904761904763,1.9333333333333336,2.9259259259259256,2.6,2.6,3.4,3.0,3.4,2.6,3.4,2.6,3.4,3.4,2.6,3.03342151675485
13,23,11,3,2,3,3,3,2,3,2,2,3,2,3.4761904761904763,1.9333333333333336,2.6296296296296298,3.4,3.4,3.4,3.0,2.6,3.4,3.4,3.4,2.6,2.6,2.6,3.087742504409171
12,18,11,2,2,2,3,2,3,2,2,2,3,2,3.2857142857142856,2.6,2.6296296296296298,2.6,3.4,2.6,3.0,3.4,2.6,2.6,3.4,2.6,2.6,2.6,2.64647266313933
8,28,5,1,5,1,3,4,5,1,5,1,3,2,2.5238095238095237,1.2666666666666666,1.7407407407407407,1.8,1.0,1.8,3.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,2.6,2.777689594356261
4,29,2,1,4,1,3,4,4,2,5,1,3,1,1.7619047619047619,1.1333333333333329,1.2962962962962963,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.7999999999999998,2.6,1.0,1.8,2.6,1.8,2.8607583774250447
4,27,5,1,4,1,4,5,5,2,5,1,3,1,1.7619047619047619,1.4000000000000004,1.7407407407407407,1.8,1.7999999999999998,1.8,4.0,1.0,1.0,2.6,1.0,1.8,2.6,1.8,2.720943562610229
4,28,0,1,4,1,4,4,5,1,4,1,3,2,1.7619047619047619,1.2666666666666666,1.0,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.8234126984126986
8,29,2,2,0,1,4,5,0,0,0,5,1,4,2.5238095238095237,1.1333333333333329,1.2962962962962963,2.6,5.0,1.8,4.0,1.0,5.0,1.0,5.0,5.0,4.2,4.2,3.534171075837743
3,27,1,1,4,1,3,5,4,1,4,1,3,1,1.5714285714285714,1.4000000000000004,1.1481481481481481,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,1.8,2.6799823633156965
12,23,10,3,2,2,3,2,2,3,3,3,3,2,3.2857142857142856,1.9333333333333336,2.4814814814814814,3.4,3.4,2.6,3.0,3.4,3.4,3.4,2.6,3.4,2.6,2.6,3.0736331569664905
